"City", "Region", "Country", "AirQuality", "WaterPollution"
"New York City", "New York", "United States of America", 46.81603773584906, 49.504950495049506
"Washington, D.C.", "District of Columbia", "United States of America", 66.12903225806451, 49.107142857142854
"San Francisco", "California", "United States of America", 60.51401869158879, 43
"Berlin", "", "Germany", 62.3641304347826, 28.61271676300578
"Los Angeles", "California", "United States of America", 36.62162162162163, 61.29943502824858
"Bern", "Canton of Bern", "Switzerland", 94.31818181818181, 12.5
"Geneva", "Canton of Geneva", "Switzerland", 71.53846153846153, 17.3728813559322
"Zurich", "Canton of Zurich", "Switzerland", 83.80952380952381, 10.714285714285715
"Basel", "", "Switzerland", 81.66666666666667, 26.923076923076923
"London", "England", "United Kingdom", 37.04225352112676, 40.716374269005854
"Cairo", "Cairo Governorate", "Egypt", 15.830721003134796, 74.35064935064935
"Alexandria", "Alexandria Governorate", "Egypt", 41.0377358490566, 71.2962962962963
"Alexandria", "Virginia", "United States of America", 89.0625, 46.15384615384615
"Paris", "Ile-de-France", "France", 34.02439024390244, 43.12169312169312
"Boston", "Massachusetts", "United States of America", 78.23529411764706, 32.91139240506329
"Toronto", "Ontario", "Canada", 65.53468208092485, 37.79940119760479
"Sao Paulo", "Sao Paulo", "Brazil", 24.056603773584907, 73.71794871794873
"Vilnius", "", "Lithuania", 77.24719101123596, 20.588235294117645
"Monaco", "", "Monaco", 28.787878787878785, 61.36363636363637
"Brussels", "", "Belgium", 35.810810810810814, 44.761904761904766
"Poznan", "Greater Poland Voivodeship", "Poland", 33.07692307692307, 50.42372881355932
"Tashkent", "", "Uzbekistan", 56.4516129032258, 49.166666666666664
"Warsaw", "Masovian Voivodeship", "Poland", 27.27272727272727, 36.01485148514851
"Modena", "Emilia-Romagna", "Italy", 39.0625, 50
"Tours", "", "France", 84.375, 6.25
"Singapore", "", "Singapore", 65.87837837837837, 24.204946996466433
"Montreal", "Quebec", "Canada", 70.76023391812866, 36.963190184049076
"Cambridge", "England", "United Kingdom", 69.82758620689656, 30.555555555555557
"Cologne", "North Rhine-Westphalia", "Germany", 60.71428571428571, 27.77777777777778
"Skopje", "Greater Skopje", "North Macedonia", 10.194174757281555, 45.26315789473684
"Gdynia", "Pomeranian Voivodeship", "Poland", 49.41860465116279, 48.61111111111111
"Szczecin", "West Pomeranian Voivodeship", "Poland", 41.37931034482759, 53.75
"Ljubljana", "Ljubljana City Municipality", "Slovenia", 72.16494845360825, 17.58241758241758
"Plovdiv", "Plovdiv region", "Bulgaria", 31.41025641025641, 36.29032258064516
"Sofia", "Sofia City Province", "Bulgaria", 23.621323529411764, 40.943396226415096
"Milan", "Lombardy", "Italy", 24.397590361445783, 39.490445859872615
"Trieste", "Friuli-Venezia Giulia", "Italy", 58.87096774193549, 29.000000000000004
"Lodz", "Lodz Voivodeship", "Poland", 28.846153846153843, 40.44117647058824
"Villeurbanne", "", "France", 75, 50
"Oslo", "", "Norway", 74.75728155339806, 14.175257731958762
"Bonn", "North Rhine-Westphalia", "Germany", 82.8125, 22.499999999999996
"Katowice", "Silesian Voivodeship", "Poland", 27.77777777777778, 48.333333333333336
"Lisbon", "Lisbon", "Portugal", 64.60674157303372, 24.856321839080458
"Rzeszow", "Podkarpackie Voivodeship", "Poland", 37.5, 47.05882352941176
